latitude,longitude
42.10223,-87.78302
42.10223,-87.78302
42.10212,-87.78287
42.10212,-87.78287
42.10203,-87.78272
42.10203,-87.78272
42.10195,-87.78254
42.10195,-87.78254
42.10187,-87.78237
42.10187,-87.78237
42.1018,-87.78219
42.1018,-87.78219
42.10174,-87.78201
42.10174,-87.78201
42.10168,-87.78182
42.10168,-87.78182
42.10164,-87.78164
42.10164,-87.78164
42.1016,-87.78146
42.1016,-87.78146
42.10158,-87.78127
42.10158,-87.78127
42.10157,-87.78108
42.10157,-87.78108
42.10156,-87.78088
42.10156,-87.78088
42.10157,-87.78069
42.10157,-87.78069
42.10157,-87.78048
42.10157,-87.78048
42.10157,-87.78028
42.10157,-87.78028
42.10158,-87.78009
42.10158,-87.78009
42.10157,-87.77987
42.10157,-87.77987
42.10157,-87.77966
42.10157,-87.77966
42.10157,-87.77945
42.10157,-87.77945
42.10157,-87.77924
42.10157,-87.77924
42.10157,-87.77903
42.10157,-87.77903
42.10157,-87.77883
42.10157,-87.77883
42.10157,-87.77862
42.10157,-87.77862
42.10157,-87.77842
42.10157,-87.77842
42.10157,-87.77821
42.10157,-87.77821
42.10158,-87.77799
42.10158,-87.77799
42.10158,-87.77778
42.10158,-87.77778
42.10157,-87.77756
42.10157,-87.77756
42.10157,-87.77734
42.10157,-87.77734
42.10157,-87.77714
42.10157,-87.77714
42.10156,-87.77691
42.10156,-87.77691
42.10156,-87.7767
42.10156,-87.7767
42.10156,-87.77648
42.10156,-87.77648
42.10155,-87.77627
42.10155,-87.77627
42.10155,-87.77606
42.10155,-87.77606
42.10155,-87.77586
42.10155,-87.77586
42.10154,-87.77569
42.10154,-87.77569
42.10155,-87.77553
42.10155,-87.77553
42.10155,-87.77538
42.10155,-87.77538
42.10155,-87.77524
42.10155,-87.77524
42.10155,-87.77511
42.10155,-87.77511
42.10155,-87.77501
42.10155,-87.77501
42.10155,-87.77494
42.10155,-87.77494
42.10155,-87.7749
42.10155,-87.7749
42.10155,-87.77488
42.10155,-87.77488
42.10155,-87.77487
42.10155,-87.77487
42.10154,-87.77486
42.10154,-87.77486
42.10154,-87.77486
42.10154,-87.77486
42.10154,-87.77486
42.10154,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10153,-87.77486
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77487
42.10154,-87.77485
42.10154,-87.77485
42.10154,-87.77484
42.10154,-87.77484
42.10154,-87.77484
42.10154,-87.77484
42.10154,-87.77484
42.10154,-87.77484
42.10154,-87.77483
42.10154,-87.77483
42.10154,-87.77481
42.10154,-87.77481
42.10153,-87.77477
42.10153,-87.77477
42.10153,-87.77472
42.10153,-87.77472
42.10153,-87.77461
42.10153,-87.77461
42.10152,-87.77452
42.10152,-87.77452
42.10152,-87.77442
42.10152,-87.77442
42.10151,-87.77432
42.10151,-87.77432
42.1015,-87.77421
42.1015,-87.77421
42.1015,-87.7741
42.1015,-87.7741
42.1015,-87.77398
42.1015,-87.77398
42.1015,-87.77386
42.1015,-87.77386
