Latitude,Longitude,Speed,Heading,Timestamp
42.10158,-87.78009,61.7,90.7,2018-09-21 14:10:21:160
42.10158,-87.78009,61.7,90.7,2018-09-21 14:10:21:660
42.10157,-87.77987,62.1,90.8,2018-09-21 14:10:22:161
42.10157,-87.77987,62.1,90.8,2018-09-21 14:10:22:660
42.10157,-87.77966,62.5,90.9,2018-09-21 14:10:23:160
42.10157,-87.77966,62.5,90.9,2018-09-21 14:10:23:661
42.10157,-87.77945,62.1,90.1,2018-09-21 14:10:24:160
42.10157,-87.77945,62.1,90.1,2018-09-21 14:10:24:661
42.10157,-87.77924,62.3,90.1,2018-09-21 14:10:25:160
42.10157,-87.77924,62.3,90.1,2018-09-21 14:10:25:660
42.10157,-87.77903,62.2,90,2018-09-21 14:10:26:160
42.10157,-87.77903,62.2,90,2018-09-21 14:10:26:661
42.10157,-87.77883,61.3,89.1,2018-09-21 14:10:27:160
42.10157,-87.77883,61.3,89.1,2018-09-21 14:10:27:660
42.10157,-87.77862,61.5,89.4,2018-09-21 14:10:28:161
42.10157,-87.77862,61.5,89.4,2018-09-21 14:10:28:660
42.10157,-87.77842,62.3,90.5,2018-09-21 14:10:29:160
42.10157,-87.77842,62.3,90.5,2018-09-21 14:10:29:660
42.10157,-87.77821,62.9,90.2,2018-09-21 14:10:30:160
42.10157,-87.77821,62.9,90.2,2018-09-21 14:10:30:660
42.10158,-87.77799,63.3,90.6,2018-09-21 14:10:31:161
42.10158,-87.77799,63.3,90.6,2018-09-21 14:10:31:660
42.10158,-87.77778,62.9,90.4,2018-09-21 14:10:32:160
42.10158,-87.77778,62.9,90.4,2018-09-21 14:10:32:661
42.10157,-87.77756,63.2,90.5,2018-09-21 14:10:33:160
42.10157,-87.77756,63.2,90.5,2018-09-21 14:10:33:660
42.10157,-87.77734,63.1,90.8,2018-09-21 14:10:34:160
42.10157,-87.77734,63.1,90.8,2018-09-21 14:10:34:660
42.10157,-87.77714,62.3,90,2018-09-21 14:10:35:161
42.10157,-87.77714,62.3,90,2018-09-21 14:10:35:660
42.10156,-87.77691,65,91,2018-09-21 14:10:36:160
42.10156,-87.77691,65,91,2018-09-21 14:10:36:660
42.10156,-87.7767,64.2,90.8,2018-09-21 14:10:37:161
42.10156,-87.7767,64.2,90.8,2018-09-21 14:10:37:660
42.10156,-87.77648,65,90.9,2018-09-21 14:10:38:161
42.10156,-87.77648,65,90.9,2018-09-21 14:10:38:661
42.10155,-87.77627,64.4,90.8,2018-09-21 14:10:39:160
42.10155,-87.77627,64.4,90.8,2018-09-21 14:10:39:660
42.10155,-87.77606,62.3,90.9,2018-09-21 14:10:40:160
42.10155,-87.77606,62.3,90.9,2018-09-21 14:10:40:660
42.10155,-87.77586,58.3,90.6,2018-09-21 14:10:41:160
42.10155,-87.77586,58.3,90.6,2018-09-21 14:10:41:660
42.10154,-87.77569,53.1,90.2,2018-09-21 14:10:42:160
42.10154,-87.77569,53.1,90.2,2018-09-21 14:10:42:661
42.10155,-87.77553,47.6,90.4,2018-09-21 14:10:43:160
42.10155,-87.77553,47.6,90.4,2018-09-21 14:10:43:660
42.10155,-87.77538,44.8,89.7,2018-09-21 14:10:44:161
42.10155,-87.77538,44.8,89.7,2018-09-21 14:10:44:660
42.10155,-87.77524,42.2,89.6,2018-09-21 14:10:45:161
42.10155,-87.77524,42.2,89.6,2018-09-21 14:10:45:660
42.10155,-87.77511,38.2,90.4,2018-09-21 14:10:46:160
42.10155,-87.77511,38.2,90.4,2018-09-21 14:10:46:660
42.10155,-87.77501,30.3,91.9,2018-09-21 14:10:47:160
42.10155,-87.77501,30.3,91.9,2018-09-21 14:10:47:660
42.10155,-87.77494,20.3,92.3,2018-09-21 14:10:48:160
42.10155,-87.77494,20.3,92.3,2018-09-21 14:10:48:661
42.10155,-87.7749,14.9,94.6,2018-09-21 14:10:49:160
42.10155,-87.7749,14.9,94.6,2018-09-21 14:10:49:661
42.10155,-87.77488,7.5,90.4,2018-09-21 14:10:50:160
42.10155,-87.77488,7.5,90.4,2018-09-21 14:10:50:660
42.10155,-87.77487,3.1,90.2,2018-09-21 14:10:51:160
42.10155,-87.77487,3.1,90.2,2018-09-21 14:10:51:660
42.10154,-87.77486,0,,2018-09-21 14:10:52:160
42.10154,-87.77486,0,,2018-09-21 14:10:52:660
42.10154,-87.77486,0,,2018-09-21 14:10:53:160
42.10154,-87.77486,0,,2018-09-21 14:10:53:661
42.10154,-87.77486,0,,2018-09-21 14:10:54:160
42.10154,-87.77486,0,,2018-09-21 14:10:54:660
42.10153,-87.77486,0,,2018-09-21 14:10:55:160
42.10153,-87.77486,0,,2018-09-21 14:10:55:660
42.10153,-87.77486,0,,2018-09-21 14:10:56:161
42.10153,-87.77486,0,,2018-09-21 14:10:56:660
42.10153,-87.77486,0,,2018-09-21 14:10:57:160
42.10153,-87.77486,0,,2018-09-21 14:10:57:660
42.10153,-87.77486,0,,2018-09-21 14:10:58:161
42.10153,-87.77486,0,,2018-09-21 14:10:58:660
42.10153,-87.77486,0,,2018-09-21 14:10:59:161
42.10153,-87.77486,0,,2018-09-21 14:10:59:660
42.10154,-87.77487,0,,2018-09-21 14:11:00:160
42.10154,-87.77487,0,,2018-09-21 14:11:00:660
42.10154,-87.77487,0,,2018-09-21 14:11:01:160
42.10154,-87.77487,0,,2018-09-21 14:11:01:660
42.10154,-87.77487,0,,2018-09-21 14:11:02:161
42.10154,-87.77487,0,,2018-09-21 14:11:02:661
42.10154,-87.77487,0,,2018-09-21 14:11:03:161
42.10154,-87.77487,0,,2018-09-21 14:11:03:660
42.10154,-87.77487,0,,2018-09-21 14:11:04:160
42.10154,-87.77487,0,,2018-09-21 14:11:04:660
42.10154,-87.77487,0,,2018-09-21 14:11:05:160
42.10154,-87.77487,0,,2018-09-21 14:11:05:660
42.10154,-87.77487,0,,2018-09-21 14:11:06:165
42.10154,-87.77487,0,,2018-09-21 14:11:06:660
42.10154,-87.77487,0,,2018-09-21 14:11:07:160
42.10154,-87.77487,0,,2018-09-21 14:11:07:660
42.10154,-87.77485,2.8,90.2,2018-09-21 14:11:08:160
42.10154,-87.77485,2.8,90.2,2018-09-21 14:11:08:660
42.10154,-87.77484,2.8,90.1,2018-09-21 14:11:09:160
42.10154,-87.77484,2.8,90.1,2018-09-21 14:11:09:660
42.10154,-87.77484,2.8,90.1,2018-09-21 14:11:10:160
42.10154,-87.77484,2.8,90.1,2018-09-21 14:11:10:660
42.10154,-87.77484,2.8,90.1,2018-09-21 14:11:11:160
42.10154,-87.77484,2.8,90.1,2018-09-21 14:11:11:660
42.10154,-87.77483,2.2,90.2,2018-09-21 14:11:12:160
42.10154,-87.77483,2.2,90.2,2018-09-21 14:11:12:661
42.10154,-87.77481,6.2,90.3,2018-09-21 14:11:13:160
42.10154,-87.77481,6.2,90.3,2018-09-21 14:11:13:660
42.10153,-87.77477,12.2,89.8,2018-09-21 14:11:14:160
42.10153,-87.77477,12.2,89.8,2018-09-21 14:11:14:660
42.10153,-87.77472,17.3,89.6,2018-09-21 14:11:15:160
42.10153,-87.77472,17.3,89.6,2018-09-21 14:11:15:660
42.10153,-87.77461,24.4,90.7,2018-09-21 14:11:16:160
42.10153,-87.77461,24.4,90.7,2018-09-21 14:11:16:660
42.10152,-87.77452,28.9,91.2,2018-09-21 14:11:17:160
42.10152,-87.77452,28.9,91.2,2018-09-21 14:11:17:661
42.10152,-87.77442,31.1,91,2018-09-21 14:11:18:161
42.10152,-87.77442,31.1,91,2018-09-21 14:11:18:660
42.10151,-87.77432,32.5,92,2018-09-21 14:11:19:160
42.10151,-87.77432,32.5,92,2018-09-21 14:11:19:660
42.1015,-87.77421,32.3,91.9,2018-09-21 14:11:20:160
42.1015,-87.77421,32.3,91.9,2018-09-21 14:11:20:660
42.1015,-87.7741,34.3,90.5,2018-09-21 14:11:21:160
42.1015,-87.7741,34.3,90.5,2018-09-21 14:11:21:660
42.1015,-87.77398,34.7,91,2018-09-21 14:11:22:161
42.1015,-87.77398,34.7,91,2018-09-21 14:11:22:660
42.1015,-87.77386,34.7,90.8,2018-09-21 14:11:23:160
42.1015,-87.77386,34.7,90.8,2018-09-21 14:11:23:660
42.1015,-87.77374,34.7,91.2,2018-09-21 14:11:24:160
42.1015,-87.77374,34.7,91.2,2018-09-21 14:11:24:660
42.1015,-87.77362,34.8,92.1,2018-09-21 14:11:25:161
