linkIdMatched,matchOffsetOnLink,Speed,,,,,,,,,,,,,,,
-1173153065,0.433570836,61.5,,,,,,,,,,,,,,,
-1173153065,0.284370013,62.3,,,,,,,,,,,,,,,
-1173153065,0.284370106,62.3,,,,,,,,,,,,,,,
-1173153065,0.12770924,62.9,,,,,,,,,,,,,,,
-1173153065,0.127709339,62.9,,,,,,,,,,,,,,,
1173153066,0.035246454,63.3,,,,,,,,,,,,,,,
1173153066,0.03524643,63.3,,,,,,,,,,,,,,,
1173153066,0.183281562,62.9,,,,,,,,,,,,,,,
1173153066,0.183281436,62.9,,,,,,,,,,,,,,,
1173153066,0.337521319,63.2,,,,,,,,,,,,,,,
1173153066,0.337520987,63.2,,,,,,,,,,,,,,,
1173153066,0.492567877,63.1,,,,,,,,,,,,,,,
1173153066,0.492567433,63.1,,,,,,,,,,,,,,,
1173153066,0.633519293,62.3,,,,,,,,,,,,,,,
1173153066,0.633518748,62.3,,,,,,,,,,,,,,,
1173153066,0.799524034,65,,,,,,,,,,,,,,,
1173153066,0.799523824,65,,,,,,,,,,,,,,,
1173153066,0.950003666,64.2,,,,,,,,,,,,,,,
1168517677,0,64.2,,,,,,,,,,,,,,,
1168517677,0.348837209,65,,,,,,,,,,,,,,,
1168517677,0.348837209,65,,,,,,,,,,,,,,,
1168517677,0.837209302,64.4,,,,,,,,,,,,,,,
-1168517676,1,64.4,,,,,,,,,,,,,,,
-1168517676,0.75340563,62.3,,,,,,,,,,,,,,,
-1168517676,0.753405515,62.3,,,,,,,,,,,,,,,
-1168517676,0.402724504,58.3,,,,,,,,,,,,,,,
-1168517676,0.402724412,58.3,,,,,,,,,,,,,,,
-1168517676,0.104086756,53.1,,,,,,,,,,,,,,,
-1168517676,0.104086756,53.1,,,,,,,,,,,,,,,
19773345,0.277777778,47.6,,,,,,,,,,,,,,,
19773345,0.277777778,47.6,,,,,,,,,,,,,,,
19773345,0.694444444,44.8,,,,,,,,,,,,,,,
19773345,0.694444444,44.8,,,,,,,,,,,,,,,
-718242137,0.963154402,42.2,,,,,,,,,,,,,,,
-718242137,0.963154402,42.2,,,,,,,,,,,,,,,
-718242137,0.804660665,38.2,,,,,,,,,,,,,,,
-718242137,0.804660665,38.2,,,,,,,,,,,,,,,
-718242137,0.682742361,30.3,,,,,,,,,,,,,,,
-718242137,0.682742361,30.3,,,,,,,,,,,,,,,
-718242137,0.597399585,20.3,,,,,,,,,,,,,,,
-718242137,0.597399585,20.3,,,,,,,,,,,,,,,
-718242137,0.548632272,14.9,,,,,,,,,,,,,,,
-718242137,0.548632272,14.9,,,,,,,,,,,,,,,
-718242137,0.524248599,7.5,,,,,,,,,,,,,,,
-718242137,0.524248599,7.5,,,,,,,,,,,,,,,
-718242137,0.512056787,3.1,,,,,,,,,,,,,,,
-718242137,0.512056787,3.1,,,,,,,,,,,,,,,
-718242137,0.499594876,0,,,,,,,,,,,,,,,
-718242137,0.499594876,0,,,,,,,,,,,,,,,
-718242137,0.499594876,0,,,,,,,,,,,,,,,
-718242137,0.499594876,0,,,,,,,,,,,,,,,
-718242137,0.499594876,0,,,,,,,,,,,,,,,
-718242137,0.499594876,0,,,,,,,,,,,,,,,
-718242137,0.499324793,0,,,,,,,,,,,,,,,
-718242137,0.499324793,0,,,,,,,,,,,,,,,
-718242137,0.499324793,0,,,,,,,,,,,,,,,
-718242137,0.499324793,0,,,,,,,,,,,,,,,
-718242137,0.499324793,0,,,,,,,,,,,,,,,
-718242137,0.499324714,0,,,,,,,,,,,,,,,
-718242137,0.499324714,0,,,,,,,,,,,,,,,
-718242137,0.499324714,0,,,,,,,,,,,,,,,
-718242137,0.499324714,0,,,,,,,,,,,,,,,
-718242137,0.499324714,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.511786704,0,,,,,,,,,,,,,,,
-718242137,0.487403048,2.8,,,,,,,,,,,,,,,
-718242137,0.487403048,2.8,,,,,,,,,,,,,,,
-718242137,0.475211219,2.8,,,,,,,,,,,,,,,
-718242137,0.475211219,2.8,,,,,,,,,,,,,,,
-718242137,0.475211219,2.8,,,,,,,,,,,,,,,
-718242137,0.475211219,2.8,,,,,,,,,,,,,,,
-718242137,0.475211219,2.8,,,,,,,,,,,,,,,
-718242137,0.475211219,2.8,,,,,,,,,,,,,,,
-718242137,0.463019391,2.2,,,,,,,,,,,,,,,
-718242137,0.463019391,2.2,,,,,,,,,,,,,,,
-718242137,0.438635735,6.2,,,,,,,,,,,,,,,
-718242137,0.438635689,6.2,,,,,,,,,,,,,,,
-718242137,0.389598339,12.2,,,,,,,,,,,,,,,
-718242137,0.389598339,12.2,,,,,,,,,,,,,,,
-718242137,0.328639198,17.3,,,,,,,,,,,,,,,
-718242137,0.328639198,17.3,,,,,,,,,,,,,,,
-718242137,0.194529017,24.4,,,,,,,,,,,,,,,
-718242137,0.194529017,24.4,,,,,,,,,,,,,,,
-718242137,0.08453255,28.9,,,,,,,,,,,,,,,
-718242137,0.08453255,28.9,,,,,,,,,,,,,,,
-718242137,0,31.1,,,,,,,,,,,,,,,
-718242137,0,31.1,,,,,,,,,,,,,,,
-1173153807,0.882025084,32.5,,,,,,,,,,,,,,,
-1173153807,0.882025084,32.5,,,,,,,,,,,,,,,
-1173153807,0.791046498,32.3,,,,,,,,,,,,,,,
-1173153807,0.791046498,32.3,,,,,,,,,,,,,,,
-1173153807,0.698494663,34.3,,,,,,,,,,,,,,,
-1173153807,0.698494663,34.3,,,,,,,,,,,,,,,
-1173153807,0.597527846,34.7,,,,,,,,,,,,,,,
-1173153807,0.597527846,34.7,,,,,,,,,,,,,,,
-1173153807,0.496561989,34.7,,,,,,,,,,,,,,,
-1173153807,0.496561989,34.7,,,,,,,,,,,,,,,
-1173153807,0.395323339,34.7,,,,,,,,,,,,,,,
-1173153807,0.395323339,34.7,,,,,,,,,,,,,,,
-1173153807,0.294389977,34.8,,,,,,,,,,,,,,,
-1173153807,0.294389977,34.8,,,,,,,,,,,,,,,
-1173153807,0.193456102,36.1,,,,,,,,,,,,,,,
-1173153807,0.193456102,36.1,,,,,,,,,,,,,,,
-1173153807,0.100645423,36.6,,,,,,,,,,,,,,,
-1173153807,0.100645423,36.6,,,,,,,,,,,,,,,
1173153806,0.035714286,38.7,,,,,,,,,,,,,,,
1173153806,0.035714286,38.7,,,,,,,,,,,,,,,
1173153806,0.5,39.3,,,,,,,,,,,,,,,
1173153806,0.5,39.3,,,,,,,,,,,,,,,
1173153806,0.964285714,39,,,,,,,,,,,,,,,
1173153806,0.964285714,39,,,,,,,,,,,,,,,
1173153852,0.857142857,39.6,,,,,,,,,,,,,,,
1173153852,0.857142857,39.6,,,,,,,,,,,,,,,
-1173153851,0.662933751,40.8,,,,,,,,,,,,,,,
-1173153851,0.662933751,40.8,,,,,,,,,,,,,,,
-1173153851,0.302328526,40.2,,,,,,,,,,,,,,,
-1173153851,0.302328526,40.2,,,,,,,,,,,,,,,
-1173153721,0.988728998,38.3,,,,,,,,,,,,,,,
-1173153721,0.988728998,38.3,,,,,,,,,,,,,,,
-1173153721,0.859677486,36.6,,,,,,,,,,,,,,,
-1173153721,0.859677486,36.6,,,,,,,,,,,,,,,
-1173153721,0.751071012,35,,,,,,,,,,,,,,,
-1173153721,0.751071012,35,,,,,,,,,,,,,,,
-1173153721,0.632591574,33.7,,,,,,,,,,,,,,,
-1173153721,0.632591574,33.7,,,,,,,,,,,,,,,
-1173153721,0.523985176,31.5,,,,,,,,,,,,,,,
-1173153721,0.523985176,31.5,,,,,,,,,,,,,,,
-1173153721,0.425252263,30.1,,,,,,,,,,,,,,,
-1173153721,0.425252263,30.1,,,,,,,,,,,,,,,
-1173153721,0.325820379,29.3,,,,,,,,,,,,,,,
-1173153721,0.325820379,29.3,,,,,,,,,,,,,,,
-1173153721,0.236165259,26.5,,,,,,,,,,,,,,,
-1173153721,0.236165259,26.5,,,,,,,,,,,,,,,
-1173153721,0.147323107,26.1,,,,,,,,,,,,,,,
-1173153721,0.147322964,26.1,,,,,,,,,,,,,,,
-1173153721,0.078223655,25,,,,,,,,,,,,,,,
-1173153721,0.078223655,25,,,,,,,,,,,,,,,
-1173153721,0.009124203,22.8,,,,,,,,,,,,,,,
-1173153720,1,22.8,,,,,,,,,,,,,,,
-1173153720,0.927557793,16.7,,,,,,,,,,,,,,,
-1173153720,0.927557793,16.7,,,,,,,,,,,,,,,
-1173153720,0.870486337,12.6,,,,,,,,,,,,,,,
-1173153720,0.870486337,12.6,,,,,,,,,,,,,,,
-1173153720,0.812863265,9.3,,,,,,,,,,,,,,,
-1173153720,0.812863265,9.3,,,,,,,,,,,,,,,
-1173153720,0.770059845,7.5,,,,,,,,,,,,,,,
-1173153720,0.770059845,7.5,,,,,,,,,,,,,,,
-1173153720,0.755791981,2.6,,,,,,,,,,,,,,,
-1173153720,0.755791981,2.6,,,,,,,,,,,,,,,
-1173153720,0.755791981,2.6,,,,,,,,,,,,,,,
-1173153720,0.755791981,2.6,,,,,,,,,,,,,,,
-1173153720,0.755240538,0,,,,,,,,,,,,,,,
-1173153720,0.755240538,0,,,,,,,,,,,,,,,
-1173153720,0.755240538,0,,,,,,,,,,,,,,,
-1173153720,0.755240307,0,,,,,,,,,,,,,,,
-1173153720,0.768956958,0,,,,,,,,,,,,,,,
-1173153720,0.768956958,0,,,,,,,,,,,,,,,
-1173153720,0.768956958,0,,,,,,,,,,,,,,,
-1173153720,0.768956958,0,,,,,,,,,,,,,,,
-1173153720,0.768956958,0,,,,,,,,,,,,,,,
-1173153720,0.768956958,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754689094,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.754688797,0,,,,,,,,,,,,,,,
-1173153720,0.726153366,2.9,,,,,,,,,,,,,,,
-1173153720,0.726153366,2.9,,,,,,,,,,,,,,,
-1173153720,0.697066194,8,,,,,,,,,,,,,,,
-1173153720,0.697066194,8,,,,,,,,,,,,,,,
-1173153720,0.625726874,15.2,,,,,,,,,,,,,,,
-1173153720,0.625726874,15.2,,,,,,,,,,,,,,,
-1173153720,0.525851498,21.3,,,,,,,,,,,,,,,
-1173153720,0.525851498,21.3,,,,,,,,,,,,,,,
-1173153720,0.411708915,23.6,,,,,,,,,,,,,,,
-1173153720,0.411708915,23.6,,,,,,,,,,,,,,,
-1173153720,0.2947334,25.6,,,,,,,,,,,,,,,
-1173153720,0.294732764,25.6,,,,,,,,,,,,,,,
-1173153720,0.15224055,29.7,,,,,,,,,,,,,,,
-1173153720,0.15224055,29.7,,,,,,,,,,,,,,,
-1231535636,0.997570415,32.8,,,,,,,,,,,,,,,
-1231535636,0.997570415,32.8,,,,,,,,,,,,,,,
-1231535636,0.863886546,34.5,,,,,,,,,,,,,,,
-1231535636,0.863886546,34.5,,,,,,,,,,,,,,,
-1231535636,0.720073972,35.5,,,,,,,,,,,,,,,
-1231535636,0.720073972,35.5,,,,,,,,,,,,,,,
-1231535636,0.553576348,39.6,,,,,,,,,,,,,,,
-1231535636,0.553576348,39.6,,,,,,,,,,,,,,,
-1231535636,0.38707824,42.3,,,,,,,,,,,,,,,
-1231535636,0.38707824,42.3,,,,,,,,,,,,,,,
-1231535636,0.220580575,45.6,,,,,,,,,,,,,,,
-1231535636,0.220580575,45.6,,,,,,,,,,,,,,,
1231535635,0,49.5,,,,,,,,,,,,,,,
1231535635,0,49.5,,,,,,,,,,,,,,,
1231535635,0.581062266,51.2,,,,,,,,,,,,,,,
1231535635,0.581062266,51.2,,,,,,,,,,,,,,,
19740426,0.195121951,52.4,,,,,,,,,,,,,,,
19740426,0.195121951,52.4,,,,,,,,,,,,,,,
19740426,0.658536585,52.8,,,,,,,,,,,,,,,
19740426,0.658536585,52.8,,,,,,,,,,,,,,,
-931003227,0.967639796,51.3,,,,,,,,,,,,,,,
-931003227,0.967639796,51.3,,,,,,,,,,,,,,,
-931003227,0.860757759,52.3,,,,,,,,,,,,,,,
-931003227,0.860757759,52.3,,,,,,,,,,,,,,,
-931003227,0.754394433,52.4,,,,,,,,,,,,,,,
-931003227,0.754394433,52.4,,,,,,,,,,,,,,,
-931003227,0.650599537,52.3,,,,,,,,,,,,,,,
-931003227,0.650599537,52.3,,,,,,,,,,,,,,,
-931003227,0.543942838,51.8,,,,,,,,,,,,,,,
-931003227,0.543942838,51.8,,,,,,,,,,,,,,,
